 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
0,2916.812,4281.656,51.46172,12691.93,-1423.031,-766.2957,-1852.545,13317.84,-2072.788,-3564.146,2723.707,-252.3246,2692.682,603.9374,1432.56,2534.845,3893.473,12970.82,551.1979,-1673.738,2266.557,2187.702,2067.216,1759.868,3644.299,1341.948,-1392.823,-3366.68,-1537.995,-1880.097,-657.5385,-2224.823,376.7438,-1266.966,661.0933,-4069.833,-4885.082,-2062.442,53.74851,-3673.953,2560.419,-1525.507,-1352.601,-1567.633,-2398.758,1062.004,713.2275,-2639.507,-5909.874,-2149.921,-509.3895,-269.5475,-3126.052,-1295.203,-855.6127,767.9084,501.2427,-2226.684,23494.08,-2292.559,-32.86124,1743.903,-88.19323,-1104.13,-1985.082,18181.22,3363.601,-1795.661,1698.564,74.57793,1055.111,-4221.277,1119.47,856.5589,2789.906,-752.5766,195.4987,8334.923,-1772.4,3847.762,-2471.434,-2563.918,-769.7168,-1445.673,-4043.11,3968.264,-920.1644,-1366.207,2438.916,6586.64,782.6985,14701.85,-6904.914,3406.46,908.4086,571.2738,133.8971,-761.4995,1796.899,-2438.953,2920.599
0.09996,7495.868,2254.244,-925.4013,12178.91,-1596.013,-920.1883,-1417.025,11088.11,-1361.087,-5241.26,1113.745,-196.8897,2588.784,64.27982,935.377,792.1343,4476.472,11970.13,-205.6964,1411.728,2523.767,1807.892,732.5254,222.6208,2190.222,2350.324,1442.931,-926.9697,-2110.396,-1573.632,-1038.836,-615.4532,-1356.299,-2030.179,1665.78,-2590.992,-3815.593,-799.644,-547.9503,-5359.877,3763.912,-2336.872,-496.0142,-1827.027,-1996.035,1206.579,2489.121,-977.7423,-3165.469,173.6725,-344.7119,416.8961,-1888.004,-2372.762,-1178.535,2661.709,742.2179,-2350.205,20289,-1591.519,213.8913,1288.568,814.2238,-1652.608,-1450.88,19574.76,1978.036,-1782.689,-453.1145,2110.659,3043.958,-4254.986,386.1502,958.0047,2604.924,120.5293,300.4627,7649.846,-1006.002,2679.289,-2047.346,137.1219,-4044.146,-2822.039,-5585.973,372.9347,-361.974,-2418.912,1152.686,7129.806,-2008.278,13234.33,-6830.987,236.2175,1153.449,-2433.491,1622.272,908.2906,1880.24,-2311.304,482.4427
0.19992,6258.567,1704.139,-76.55241,8893.43,-983.462,-2127.704,-399.6217,10045.74,-421.1171,-2891.105,1800.455,369.8924,1433.812,-210.3527,-406.3618,1588.366,3184.357,9067.694,-1478.506,-2529.685,2321.856,1310.291,349.5725,612.4972,1100.113,2387.95,266.0034,-1392.07,-2052.099,-2931.167,-270.2836,-852.8054,-2148.098,-1464.041,-1448.197,-2031.088,-5522.376,539.9803,-1013.743,-6102.901,271.4604,-1683.459,-679.3568,823.468,-2903.54,-625.7413,85.32651,-2312.88,-2734.854,-3201.527,40.55051,697.6734,-4308.089,-1038.869,-1751.795,1486.113,-1689.365,-3820.9,19572.95,-2762.276,-27.09781,1565.077,-486.6002,-1513.125,-1667.57,21709.49,3293.199,-1662.125,1350.458,-362.2103,1378.512,-4338.05,-757.6105,-704.6043,-1733.027,-357.7509,57.69607,8372.754,-1638.014,2039.844,-1865.97,-579.155,-3081.904,-1969.636,-5106.225,2239.847,-1427.485,-4185.665,84.29987,6507.128,-399.1123,14050.24,-8390.188,-1852.367,-716.9822,-298.1579,-951.8876,1621.249,2059.69,-4807.524,4480.109
0.29988,9294.39,1126.641,41.92822,8667.54,-1545.755,524.0496,-1436.219,12099.38,-413.0974,-4421.458,931.6771,-2673.375,2130.715,-2575.719,1547.361,2750.826,3066.633,7205.344,-427.6157,-645.2523,2652.179,902.6258,-1632.968,773.7383,252.7474,-584.8956,2696.396,-2935.196,-1675.425,-1168.283,-1884.117,-1082.829,-2347.367,-1955.833,-578.5911,-4075.676,-6087.873,-460.5046,251.8561,-5545.387,2340.6,-2118.298,-2106.058,-21.97812,-3251.16,1544.479,-1156.451,-1326.632,-2724.231,-1466.798,521.0288,101.6716,-4435.759,-1545.761,-2155.273,92.10232,-1513.649,-1348.422,17757.43,-275.2729,-1272.894,2058.611,-168.7345,-1767.814,-1675.795,21366.89,1974.946,-2066.697,-470.1195,1180.953,2676.69,-2844.997,-563.3306,835.4977,423.861,1351.415,932.1053,9622.353,-814.6234,-286.3705,-2745.409,-1799.185,-3793.181,-3064.59,-4954.231,615.7518,-2781.246,-3341.13,130.6189,5730.237,-1183.526,11906.58,-9463.82,1116.995,-460.7894,-1111.755,738.5646,1425.653,1251.627,-2318.363,2905.088
0.39984,7948.048,-1394.982,-297.2697,10363.38,-1827.798,829.1028,-494.4056,11285.33,232.5718,-3003.025,2275.887,-2280.051,804.1829,-91.43508,-240.8159,102.5784,4006.33,6189.116,-999.3351,790.3925,4342.73,888.1171,755.3257,578.6504,557.2951,-1009.842,1383.007,-4054.442,-2062.251,-900.3648,-707.7198,-1395.446,-776.3882,-3067.388,108.9734,-2287.627,-4801.571,-1015.215,-2205.095,-5661.009,1387.016,1040.615,-1508.29,-1372.163,-3136.283,-655.3724,-491.103,-2254.97,-3612.22,-1998.486,103.432,-857.7673,-2557.421,-2021.518,-1864.701,512.655,497.2993,-2159.393,17461.93,-808.6617,-632.5787,17.76817,73.01011,-645.2894,-1267.262,20557.33,3246.235,-1271.469,-650.0656,2.610737,730.1838,-1214.897,-3588.001,997.5148,1326.316,101.5785,2562.205,7381.919,-2265.055,827.8214,-1151.465,699.0181,-4097.399,-1996.077,-3553.047,-1060.055,-2431.754,-2924.492,1224.18,3042.657,-1156.377,11129.24,-8091.667,-1708.037,-1237.831,-1835.659,-1201.86,1085.831,3218.713,-3305.977,849.5424
0.4998,6877.505,2283.116,-639.8804,8098.918,-2163.113,319.2189,-1380.891,9557.057,-1357.829,-1718.124,1502.52,-2494.605,-1379.925,1521.89,-1338.353,-743.3387,2497.918,5957.016,-2575.175,-136.1808,3035.955,1550.859,3058.622,42.34729,716.7714,118.6878,1249.928,-2715.101,-3570.488,-3595.223,-1338.386,-1800.405,-965.1745,-1570.413,-1938.569,-271.3031,-3784.276,562.279,-3082.121,-3689.31,1488.858,-821.1048,-1577.31,-1108.278,-2438.105,387.9442,-475.2378,-3577.112,-2377.678,-253.5571,654.8745,-997.7489,-2193.54,-745.426,148.7234,308.5856,-315.2448,-1177.641,16092.87,-586.5095,-1451.185,774.5205,-1887.671,-3750.173,-1066.739,22544.85,1150.063,-2404.822,-1316.56,-1342.868,1131.677,-3014.627,-2335.387,-535.5262,425.6542,427.6281,174.2364,8152.479,-2205.631,31.89866,744.5995,-2348.446,-3995.692,-2281.252,-4133.577,61.18745,-1784.296,-2262.928,-280.1664,5219.386,-3162.11,12665.06,-10450.71,471.3543,869.854,-2792.317,-871.0414,-154.6835,312.1966,-2974.115,1078.922
0.59976,3766.372,-1012.286,12.46956,12801.35,-894.6207,-695.9815,1458.568,10001.85,-2104.703,-565.7784,469.3361,-61.47635,-94.72212,981.4963,-1566.821,916.4453,938.5778,5230.35,-2541.809,-59.4325,2770.218,-114.2916,1763.835,550.4128,-480.9122,1143.699,1226.359,-2334.056,-2256.926,-1205.652,-926.9875,-2396.381,-1305.504,-2381.046,634.3176,-1561.991,-4828.265,-854.73,-590.2668,-4793.73,2714.075,-22.51505,-2098.597,423.2544,-4477.764,577.6025,601.5681,-1633.671,-4627.806,-1349.738,2620.506,-385.5578,-1895.576,-1717.987,-1997.949,-631.5615,-944.9353,-3288.511,13095.2,422.4868,646.3068,-754.0331,-2459.4,-745.947,-1053.518,19138.21,1584.451,-32.28664,-1019.663,-837.6563,2206.629,-2526.108,-2399.441,405.6614,149.5802,-499.6927,-192.4664,6112.262,-430.5441,434.2348,359.5787,1548.613,-3813.16,-1687.048,-2704.684,130.7769,-3118.331,-3266.129,1595.132,6430.417,-2448.054,11968.5,-6548.546,-174.1014,155.3967,-2527.911,381.1437,1347.113,-710.3001,-4945.214,1132.38
0.69972,9465.229,-149.9903,1746.589,12279.34,-178.0865,123.505,-1157.698,7942.97,309.3705,-1815.335,242.7434,-1367.36,-1187.772,7.275331,-722.2458,709.523,2588.309,5323.557,-3241.335,-2326.664,2465.243,4103.132,2617.847,-538.5117,273.4811,1676.613,1717.738,-2496.112,160.175,-429.332,-1541.028,-614.102,-2104.466,-2091.319,-821.0469,-4412.893,-5506.81,1015.74,-1499.211,-5361.168,1406.442,1104.069,-1998.172,-1198.82,-4961.97,-917.0122,226.9265,-1947.169,-3990.629,-1948.391,-731.7537,-733.5692,-1163.943,-285.0523,-2386.062,1609.81,957.3467,-869.3255,14132.38,-1640.765,-320.2804,-1187.183,-1951.663,-921.7556,-590.283,19728.01,2054.004,-1538.829,-665.6111,-1585.527,-547.6631,-1908.936,-4095.531,-390.8901,865.3079,-208.2444,1434.546,8347.094,937.017,844.8793,773.4962,69.05346,-4528.182,-3100.756,-1941.938,-738.0689,-2322.228,-1339.703,603.662,1808.757,-559.011,11558.04,-10821.52,-255.4937,306.2743,-879.0316,1574.252,1474.65,-383.251,-6408.047,2245.031
0.79968,8994.102,-1632.967,2715.102,14139.87,-1580.408,-114.9941,-1545.368,5309.531,-880.3798,-1252.991,1426.979,-1972.817,-864.3693,98.3539,1637.524,23.38041,2317.041,4736.257,-4567.46,-1109.185,3250.464,2133.708,789.0508,469.9232,1039.335,3747.3,1364.537,-2605.64,-2645.899,1458.867,-1992.805,-2574.479,-1092.936,-1767.385,-1607.446,-2972.763,-4211.596,-1833.559,-1125.015,-6540.767,-341.6064,-1109.15,-685.681,167.9969,-2513.355,20.59966,651.3705,-2357.509,-1497.272,-1877.606,-328.1112,158.1635,-2148.981,-816.4286,-503.0164,-274.0643,-150.5233,-1791.303,11573.05,-1473.693,-1684.893,-463.2118,131.2389,-2847.464,-1745.603,18268.51,1018.173,-1685.956,1035.934,-385.2489,1477.754,-1398.856,-1622.08,-3392.045,544.6901,-491.8578,-1859.563,8046.683,-2614.627,94.99448,-2269.095,426.796,-5555.374,-2284.834,-2256.195,-216.5615,-3126.298,-2752.333,-174.8616,3308.757,-1773.782,11045.43,-10218.09,942.9281,-1371.771,-2050.054,3711.988,389.2795,-894.2603,-4820.09,-1055.599
