Distance_(µm),Gray_Value
0.000000000,23.601533890
0.649999976,23.292585373
1.299999952,23.460647583
1.950000048,23.157178879
2.599999905,22.917228699
3.250000000,22.969688416
3.900000095,23.054681778
4.550000191,23.037405014
5.199999809,22.961977005
5.849999905,22.894325256
6.500000000,22.661623001
7.150000095,22.645730972
7.800000191,22.816812515
8.449999809,22.958623886
9.100000381,22.987352371
9.750000000,22.988752365
10.399999619,23.288314819
11.050000191,23.545852661
11.699999809,23.530738831
12.350000381,23.375911713
13.000000000,23.299163818
13.649999619,23.350267410
14.300000191,23.311801910
14.949999809,23.354259491
15.600000381,23.418182373
16.250000000,23.519376755
16.899999619,23.506565094
17.549999237,23.274860382
18.200000763,23.011577606
18.850000381,23.154314041
19.500000000,23.516548157
20.149999619,23.748228073
20.799999237,23.681879044
21.450000763,23.529350281
22.100000381,23.730665207
22.750000000,24.056388855
23.399999619,24.231607437
24.049999237,24.281974792
24.700000763,24.598402023
25.350000381,24.808553696
26.000000000,24.965778351
26.649999619,25.232036591
27.299999237,25.571294785
27.950000763,25.848371506
28.600000381,25.805377960
29.250000000,25.847171783
29.899999619,25.883518219
30.549999237,25.640535355
31.200000763,25.459941864
31.850000381,25.618385315
32.500000000,25.907484055
33.150001526,26.016607285
33.799999237,26.118192673
34.450000763,26.244655609
35.099998474,26.152727127
35.750000000,26.228752136
36.400001526,26.341421127
37.049999237,26.467761993
37.700000763,26.552791595
38.349998474,26.541118622
39.000000000,26.529783249
39.650001526,26.547456741
40.299999237,26.348159790
40.950000763,26.192296982
41.599998474,25.988386154
42.250000000,25.649164200
42.900001526,25.198104858
43.549999237,24.959856033
44.200000763,24.496839523
44.849998474,24.324420929
45.500000000,24.151088715
46.150001526,24.272991180
46.799999237,24.153388977
47.450000763,23.891029358
48.099998474,23.815036774
48.750000000,24.107624054
49.400001526,24.417957306
50.049999237,24.667449951
50.700000763,24.737054825
51.349998474,24.730010986
52.000000000,24.727506638
52.650001526,24.680557251
53.299999237,24.625253677
53.950000763,24.486959457
54.599998474,24.667268753
55.250000000,24.738599777
55.900001526,24.596172333
56.549999237,24.464790344
57.200000763,24.131622314
57.849998474,23.920124054
58.500000000,24.013523102
59.150001526,24.205699921
59.799999237,24.743755341
60.450000763,24.741878510
61.099998474,24.602828979
61.750000000,24.574327469
62.400001526,24.233814240
63.049999237,24.100463867
63.700000763,24.224407196
64.349998474,24.251121521
65.000000000,24.368467331
65.650001526,24.496187210
66.300003052,24.662935257
66.949996948,24.674119949
67.599998474,24.760730743
68.250000000,24.687612534
68.900001526,24.589582443
69.550003052,24.614189148
70.199996948,24.390949249
70.849998474,24.349071503
71.500000000,24.411382675
72.150001526,24.462551117
72.800003052,24.500837326
73.449996948,24.582853317
74.099998474,24.603832245
74.750000000,24.131757736
75.400001526,23.847223282
76.050003052,23.686141968
76.699996948,23.806232452
77.349998474,23.880168915
78.000000000,23.814092636
78.650001526,23.626516342
79.300003052,23.723070145
79.949996948,23.614843369
80.599998474,23.559572220
81.250000000,23.563529968
81.900001526,23.392162323
82.550003052,22.966238022
83.199996948,22.782466888
83.849998474,22.771961212
84.500000000,22.686058044
85.150001526,22.469301224
85.800003052,22.176158905
86.449996948,22.151018143
87.099998474,22.503129959
87.750000000,22.488252640
88.400001526,22.350736618
89.050003052,22.454200745
89.699996948,22.675107956
90.349998474,22.796897888
91.000000000,22.742557526
91.650001526,22.743789673
92.300003052,22.653322220
92.949996948,22.640056610
93.599998474,22.773651123
94.250000000,23.004867554
94.900001526,23.233436584
95.550003052,23.395956039
96.199996948,23.655908585
96.849998474,23.892911911
97.500000000,23.911241531
98.150001526,23.503980637
98.800003052,23.514003754
99.449996948,23.666322708
100.099998474,23.571912766
100.750000000,23.370698929
101.400001526,23.403388977
102.050003052,23.350507736
102.699996948,23.223972321
103.349998474,23.064565659
104.000000000,23.087982178
104.650001526,22.981510162
105.300003052,22.967483521
105.949996948,23.079696655
106.599998474,23.266138077
107.250000000,23.944581985
107.900001526,24.178239822
108.550003052,23.882879257
109.199996948,23.776702881
109.849998474,23.884948730
110.500000000,24.011177063
111.150001526,23.874494553
111.800003052,23.791671753
112.449996948,23.671150208
113.099998474,23.557050705
113.750000000,23.483003616
114.400001526,23.240217209
115.050003052,23.146644592
115.699996948,23.096675873
116.349998474,23.198223114
117.000000000,23.462944031
117.650001526,23.764526367
118.300003052,23.813657761
118.949996948,23.821811676
119.599998474,23.939716339
120.250000000,23.806272507
120.900001526,23.627851486
121.550003052,23.654466629
122.199996948,23.608968735
122.849998474,23.684537888
123.500000000,23.693193436
124.150001526,23.688364029
124.800003052,23.971364975
125.449996948,24.297258377
126.099998474,24.356960297
126.750000000,24.145961761
127.400001526,23.941278458
128.050003052,23.721221924
128.699996948,23.440698624
129.350006104,23.397623062
130.000000000,23.340820312
130.649993896,23.331081390
131.300003052,23.353811264
131.949996948,23.313190460
132.600006104,23.025405884
133.250000000,23.087760925
133.899993896,23.419210434
134.550003052,23.790279388
135.199996948,24.014913559
135.850006104,24.220146179
136.500000000,24.486286163
137.149993896,24.658166885
137.800003052,24.880443573
138.449996948,25.128423691
139.100006104,25.400802612
139.750000000,25.902549744
140.399993896,26.153640747
141.050003052,26.187225342
141.699996948,26.266866684
142.350006104,26.052196503
143.000000000,25.812059402
143.649993896,25.690599442
144.300003052,25.535907745
144.949996948,25.766807556
145.600006104,25.990861893
146.250000000,25.878498077
146.899993896,25.456993103
147.550003052,25.161437988
148.199996948,25.240110397
148.850006104,25.169309616
149.500000000,24.847097397
150.149993896,24.812408447
150.800003052,24.811281204
151.449996948,24.778972626
152.100006104,24.635919571
152.750000000,24.457519531
153.399993896,24.320247650
154.050003052,24.338077545
154.699996948,24.369729996
155.350006104,24.435878754
156.000000000,24.411108017
156.649993896,24.408983231
157.300003052,24.450550079
157.949996948,24.523252487
158.600006104,24.725166321
159.250000000,24.677753448
159.899993896,24.701850891
160.550003052,24.865924835
161.199996948,24.814311981
161.850006104,24.592538834
162.500000000,24.396100998
163.149993896,24.469465256
163.800003052,24.531217575
164.449996948,24.591588974
165.100006104,24.465030670
165.750000000,24.432338715
166.399993896,24.414442062
167.050003052,24.270227432
167.699996948,24.303943634
168.350006104,24.366832733
169.000000000,23.998733521
169.649993896,23.766702652
170.300003052,23.754701614
170.949996948,23.827625275
171.600006104,23.841878891
172.250000000,23.799566269
172.899993896,23.571863174
173.550003052,23.176567078
174.199996948,22.912868500
174.850006104,22.854867935
175.500000000,22.872978210
176.149993896,22.437685013
176.800003052,22.330392838
177.449996948,22.414955139
178.100006104,22.230504990
178.750000000,22.117746353
179.399993896,22.011962891
180.050003052,22.181304932
180.699996948,22.316595078
181.350006104,22.288911819
182.000000000,22.302204132
182.649993896,22.316833496
183.300003052,22.356592178
183.949996948,22.418018341
184.600006104,22.333040237
185.250000000,22.228446960
185.899993896,22.038953781
186.550003052,21.884468079
187.199996948,22.081842422
187.850006104,22.226539612
188.500000000,22.168659210
189.149993896,22.042238235
189.800003052,21.970855713
190.449996948,21.731657028
191.100006104,21.634019852
191.750000000,21.774448395
192.399993896,22.063053131
193.050003052,22.410900116
193.699996948,22.622461319
194.350006104,22.755029678
195.000000000,23.131778717
195.649993896,23.423892975
196.300003052,23.469284058
196.949996948,23.616014481
197.600006104,24.133758545
198.250000000,24.314014435
198.899993896,24.045133591
199.550003052,23.994947433
200.199996948,24.092527390
200.850006104,24.113094330
201.500000000,24.243177414
202.149993896,24.187986374
202.800003052,23.815818787
203.449996948,23.502460480
204.100006104,23.358985901
204.750000000,23.466344833
205.399993896,23.381160736
206.050003052,23.008813858
206.699996948,22.920421600
207.350006104,23.022773743
208.000000000,23.064273834
208.649993896,22.930561066
209.300003052,22.792089462
209.949996948,22.670326233
210.600006104,22.807891846
211.250000000,22.811294556
211.899993896,22.559034348
212.550003052,22.208190918
213.199996948,21.744735718
213.850006104,21.458349228
214.500000000,21.379627228
215.149993896,21.295845032
215.800003052,21.168844223
216.449996948,21.263309479
217.100006104,21.280227661
217.750000000,21.356599808
218.399993896,21.232763290
219.050003052,20.879592896
219.699996948,20.896429062
220.350006104,20.783088684
221.000000000,20.732599258
221.649993896,20.692825317
222.300003052,20.550399780
222.949996948,20.489490509
223.600006104,20.539731979
224.250000000,20.722587585
224.899993896,20.890720367
225.550003052,21.286037445
226.199996948,21.683107376
226.850006104,22.038774490
227.500000000,22.411956787
228.149993896,22.755563736
228.800003052,23.043256760
229.449996948,23.113946915
230.100006104,23.089233398
230.750000000,22.929262161
231.399993896,22.832202911
232.050003052,22.653150558
232.699996948,22.473743439
233.350006104,22.425823212
234.000000000,22.631969452
234.649993896,22.974575043
235.300003052,22.842197418
235.949996948,22.488977432
236.600006104,22.379934311
237.250000000,22.307495117
237.899993896,22.487245560
238.550003052,22.612279892
239.199996948,22.849809647
239.850006104,22.907014847
240.500000000,22.615026474
241.149993896,22.574834824
241.800003052,22.603395462
242.449996948,22.400604248
243.100006104,22.073707581
243.750000000,22.007978439
244.399993896,22.366811752
245.050003052,22.766126633
245.699996948,22.709737778
246.350006104,22.357828140
247.000000000,22.185699463
247.649993896,22.140832901
248.300003052,22.295906067
248.949996948,22.398794174
249.600006104,22.495090485
250.250000000,22.517852783
250.899993896,22.416402817
251.550003052,22.575317383
252.199996948,22.769855499
252.850006104,22.933200836
253.500000000,22.971115112
254.149993896,22.908504486
254.800003052,22.897949219
255.449996948,22.857824326
256.100006104,22.796123505
256.750000000,22.762273788
257.399993896,23.084280014
258.049987793,23.227224350
258.700012207,23.052125931
259.350006104,23.156372070
260.000000000,23.201316833
260.649993896,23.130561829
261.299987793,23.127037048
261.950012207,23.053453445
262.600006104,23.027137756
263.250000000,23.178834915
263.899993896,23.249528885
264.549987793,23.211364746
265.200012207,23.051368713
265.850006104,23.064918518
266.500000000,23.119974136
267.149993896,23.142759323
267.799987793,22.899072647
268.450012207,22.749324799
269.100006104,22.479043961
269.750000000,22.236314774
270.399993896,21.956819534
271.049987793,21.998895645
271.700012207,21.966125488
272.350006104,21.897270203
273.000000000,21.769052505
273.649993896,21.362159729
274.299987793,21.043712616
274.950012207,21.186735153
275.600006104,21.258489609
276.250000000,21.242872238
276.899993896,21.399826050
277.549987793,21.539754868
278.200012207,21.601280212
278.850006104,21.712524414
279.500000000,21.877956390
280.149993896,21.916770935
280.799987793,21.902391434
281.450012207,21.769792557
282.100006104,21.683034897
282.750000000,21.819396973
283.399993896,22.022670746
284.049987793,22.060293198
284.700012207,22.064805984
285.350006104,21.978757858
286.000000000,22.085405350
