Distance_(µm),Gray_Value
0.000000000,35.000198364
0.649999976,34.621078491
1.299999952,34.472663879
1.950000048,34.528068542
2.599999905,34.637409210
3.250000000,34.572597504
3.900000095,34.419559479
4.550000191,34.613422394
5.199999809,34.667304993
5.849999905,34.674354553
6.500000000,34.205799103
7.150000095,33.981491089
7.800000191,34.033580780
8.449999809,34.190536499
9.100000381,34.398483276
9.750000000,34.776180267
10.399999619,35.177139282
11.050000191,35.403999329
11.699999809,35.439243317
12.350000381,35.287361145
13.000000000,35.330879211
13.649999619,35.551170349
14.300000191,35.933757782
14.949999809,36.308601379
15.600000381,36.124851227
16.250000000,35.778331757
16.899999619,34.989624023
17.549999237,34.277538300
18.200000763,33.964298248
18.850000381,33.737682343
19.500000000,33.723667145
20.149999619,33.507129669
20.799999237,33.224983215
21.450000763,33.209697723
22.100000381,33.261417389
22.750000000,33.194713593
23.399999619,32.661579132
24.049999237,32.455722809
24.700000763,32.567203522
25.350000381,32.700721741
26.000000000,32.741199493
26.649999619,33.139488220
27.299999237,33.418369293
27.950000763,33.331638336
28.600000381,32.904579163
29.250000000,33.010360718
29.899999619,33.176567078
30.549999237,32.766620636
31.200000763,32.305721283
31.850000381,32.237018585
32.500000000,31.975360870
33.150001526,31.754579544
33.799999237,31.665784836
34.450000763,31.517524719
35.099998474,31.410707474
35.750000000,31.126155853
36.400001526,31.015226364
37.049999237,31.460510254
37.700000763,31.711408615
38.349998474,31.726566315
39.000000000,32.037044525
39.650001526,32.431842804
40.299999237,32.590240479
40.950000763,32.429569244
41.599998474,32.576442719
42.250000000,32.939056396
42.900001526,33.157093048
43.549999237,33.020401001
44.200000763,32.595157623
44.849998474,32.250171661
45.500000000,32.330596924
46.150001526,32.831489563
46.799999237,32.900859833
47.450000763,33.059181213
48.099998474,33.130252838
48.750000000,33.433971405
49.400001526,33.692611694
50.049999237,33.756099701
50.700000763,33.710498810
51.349998474,33.789173126
52.000000000,34.296070099
52.650001526,34.484340668
53.299999237,34.508560181
53.950000763,35.231800079
54.599998474,36.119354248
55.250000000,36.385257721
55.900001526,36.079769135
56.549999237,35.963298798
57.200000763,35.818889618
57.849998474,35.749366760
58.500000000,35.490478516
59.150001526,35.266017914
59.799999237,35.431591034
60.450000763,35.310047150
61.099998474,34.837295532
61.750000000,34.454242706
62.400001526,34.144763947
63.049999237,34.056404114
63.700000763,34.022834778
64.349998474,33.819068909
65.000000000,33.541667938
65.650001526,33.190456390
66.300003052,33.226631165
66.949996948,33.494510651
67.599998474,33.922111511
68.250000000,34.636718750
68.900001526,34.882106781
69.550003052,34.688236237
70.199996948,34.767230988
70.849998474,35.023372650
71.500000000,34.916332245
72.150001526,34.924716949
72.800003052,35.288986206
73.449996948,35.842044830
74.099998474,36.042198181
74.750000000,36.156627655
75.400001526,36.502227783
76.050003052,36.899997711
76.699996948,36.963863373
77.349998474,36.947494507
78.000000000,37.098728180
78.650001526,37.643669128
79.300003052,37.805706024
79.949996948,37.458805084
80.599998474,36.813327789
81.250000000,36.034023285
81.900001526,35.690914154
82.550003052,35.354717255
83.199996948,34.778499603
83.849998474,34.386177063
84.500000000,34.101211548
85.150001526,33.816154480
85.800003052,33.500053406
86.449996948,33.404899597
87.099998474,33.814258575
87.750000000,34.301246643
88.400001526,34.670127869
89.050003052,35.195320129
89.699996948,35.867599487
90.349998474,36.343257904
91.000000000,36.680091858
91.650001526,36.881057739
92.300003052,36.633712769
92.949996948,36.419589996
93.599998474,36.354869843
94.250000000,36.325569153
94.900001526,36.448722839
95.550003052,36.684570312
96.199996948,36.465354919
96.849998474,36.125186920
97.500000000,35.679885864
98.150001526,35.248149872
98.800003052,34.523334503
99.449996948,33.604633331
100.099998474,32.746673584
100.750000000,32.406356812
101.400001526,32.332885742
102.050003052,31.849716187
102.699996948,31.414407730
103.349998474,30.968414307
104.000000000,30.654546738
104.650001526,30.695493698
105.300003052,31.023544312
