Distance_(pixels),Gray_Value
0,8.6202
1,8.9735
2,9.3291
3,9.6602
4,9.9991
5,10.2679
6,10.5618
7,10.7816
8,11.0383
9,11.2609
10,11.5103
11,11.7604
12,12.0210
13,12.2078
14,12.3527
15,12.5022
16,12.6613
17,12.8539
18,13.0199
19,13.1613
20,13.2394
21,13.2777
22,13.3539
23,13.4724
24,13.6230
25,13.7292
26,13.7986
27,13.8554
28,13.9127
29,13.9685
30,14.0020
31,14.0383
32,14.0275
33,14.0255
34,14.0575
35,14.0662
36,14.0399
37,14.0322
38,14.0236
39,14.0630
40,14.0836
41,14.0701
42,13.9922
43,13.9372
44,13.9210
45,13.9445
46,13.9950
47,13.9791
48,13.9437
49,13.8941
50,13.7878
51,13.7233
52,13.6742
53,13.6428
54,13.5675
55,13.4800
56,13.3878
57,13.2971
58,13.1741
59,13.0603
60,12.9619
61,12.8331
62,12.6865
63,12.5379
64,12.4300
65,12.3018
66,12.1864
67,12.0978
68,12.0290
69,11.9532
70,11.8439
71,11.7341
72,11.5766
73,11.3541
74,11.1743
75,11.0402
76,10.8786
77,10.7240
78,10.5757
79,10.4386
80,10.3596
81,10.2778
82,10.2257
83,10.1211
84,10.0444
85,9.9676
86,9.9105
87,9.8213
88,9.7288
89,9.6469
90,9.5925
91,9.5324
92,9.5319
93,9.5662
94,9.6057
95,9.6429
96,9.6703
97,9.7022
98,9.7004
99,9.6927
100,9.6814
101,9.6665
102,9.6486
103,9.6128
104,9.5286
105,9.5057
106,9.5029
107,9.5218
108,9.5128
109,9.4889
110,9.5332
111,9.5376
112,9.5501
113,9.6016
114,9.6739
115,9.7102
116,9.7716
117,9.7842
118,9.7922
119,9.8091
120,9.8175
121,9.8621
122,9.9045
123,9.9649
124,10.0832
125,10.1424
126,10.1412
127,10.1363
128,10.1710
129,10.2355
130,10.2941
131,10.2935
132,10.3020
133,10.3404
134,10.4030
135,10.4535
136,10.4894
137,10.4801
138,10.4150
139,10.3998
140,10.3952
141,10.4068
142,10.4541
143,10.5342
144,10.6118
145,10.6509
146,10.6981
147,10.7462
148,10.7497
149,10.7111
150,10.6396
151,10.5998
152,10.6453
153,10.6922
154,10.7375
155,10.8400
156,10.9544
157,11.0961
158,11.2624
159,11.4772
160,11.6981
161,11.9056
162,12.1242
163,12.3089
164,12.4824
165,12.6613
166,12.8376
167,13.0036
168,13.1582
169,13.3445
170,13.5102
171,13.6039
172,13.7186
173,13.9664
174,14.2993
175,14.5950
176,14.7629
177,14.8203
178,14.8983
179,15.1064
180,15.4787
181,15.9258
182,16.3228
183,16.7087
184,17.0627
185,17.3906
186,17.7003
187,17.9163
188,17.9881
189,18.0639
190,18.1338
191,18.2180
192,18.3393
193,18.3941
194,18.5117
195,18.6704
196,18.8719
197,19.1513
198,19.6083
199,20.1861
200,20.7205
201,21.1352
202,21.4063
203,21.7169
204,22.1164
205,22.5565
206,23.0369
207,23.5091
208,24.0492
209,24.5419
210,24.8136
211,24.9743
212,25.1725
213,25.3052
214,25.2357
215,24.9993
216,24.7614
217,24.7053
218,24.8187
219,24.8964
220,25.0039
221,24.9600
222,24.8127
223,24.6432
224,24.4521
225,24.3388
226,24.4845
227,24.9255
228,25.4391
229,25.8463
230,26.1129
231,26.1855
232,26.2329
233,26.3346
234,26.3513
235,26.3536
236,26.3750
237,26.5633
238,26.8259
239,27.0113
240,27.0804
241,27.1687
242,27.5020
243,27.9377
244,28.3722
245,28.7848
246,29.1719
247,29.4983
248,29.6233
249,29.6463
250,29.6840
251,29.7967
252,29.7369
253,29.3866
254,28.9979
255,28.6017
256,28.2917
257,28.0100
258,27.6044
259,27.0360
260,26.5461
261,26.3327
262,26.1056
263,25.7515
264,25.5805
265,25.5723
266,25.7865
267,26.1861
268,26.5215
269,26.8115
270,27.0081
271,27.0906
272,27.0415
273,27.0336
274,27.0743
275,27.2906
276,27.3072
277,27.0819
278,26.7113
279,26.4206
280,26.2775
281,26.2482
282,26.5003
283,26.8452
284,27.1682
285,27.3953
286,27.6510
287,27.8388
288,27.9955
289,28.1351
290,28.3950
291,28.7857
292,29.2712
293,29.6023
294,29.6940
295,29.8282
296,29.8658
297,29.8297
298,29.7483
299,29.5864
300,29.3711
301,29.1971
302,29.0808
303,29.0071
304,29.1980
305,29.4556
306,29.5787
307,29.3979
308,29.2484
309,29.1581
310,29.1348
311,29.1908
312,29.1469
313,29.1854
314,29.3508
315,29.7565
316,30.3039
317,30.7348
318,31.3261
319,32.0995
320,32.7486
321,33.1402
322,33.2659
323,33.2551
324,33.1741
325,33.1128
326,33.0297
327,32.8882
328,32.8708
329,32.8328
330,32.6584
331,32.3640
332,32.0118
333,31.6138
334,31.1805
335,30.8429
336,30.6361
337,30.5363
338,30.5240
339,30.5100
340,30.7113
341,31.1200
342,31.5776
343,31.9599
344,32.1414
345,32.2839
346,32.4444
347,32.5573
348,32.5669
349,32.4735
350,32.1450
351,31.7376
352,31.5034
353,31.4149
354,31.5147
355,31.9240
356,32.3176
357,32.6006
358,32.7420
359,32.7782
360,32.8568
361,32.9357
362,32.7706
363,32.5484
364,32.3350
365,32.1971
366,32.0580
367,31.9472
368,31.9217
369,32.0037
370,32.0774
371,31.8110
372,31.2793
373,30.7948
374,30.4660
375,30.1276
376,29.6672
377,29.1686
378,28.7962
379,28.5967
380,28.6199
381,28.5766
382,28.2540
383,27.8446
384,27.3011
385,26.8411
386,26.4737
387,26.4012
388,26.5434
389,26.6224
390,26.4862
391,25.9729
392,25.3068
393,24.6561
394,24.2226
395,23.9096
396,23.3940
397,22.5756
398,21.7821
399,21.2162
400,20.8503
401,20.6204
402,20.5162
403,20.4659
404,20.3564
405,20.1853
